position,name,varlab,notes,Values,Code (if relevant)
277,q45,Do you do anything to the water to make it safer to drink?,,Coded value,"1-YES, ALWAYS; 2-YES, SOMETIMES; 3-NO"
278,q461,you usually do to make water safer to drink:Boil,,Binary,1-YES; 2-NO
279,q462,you usually do to make water safer to drink:Add bleach or chlorine,,Binary,1-YES; 2-NO
280,q463,you usually do to make water safer to drink:Strain through cloth,,Binary,1-YES; 2-NO
281,q464,you usually do to make water safer to drink:Use water filter,,Binary,1-YES; 2-NO
282,q465,you usually do to make water safer to drink:Solar disinfection,,Binary,1-YES; 2-NO
283,q466,you usually do to make water safer to drink:Let it stand and settle,,Binary,1-YES; 2-NO
284,q467,you usually do to make water safer to drink: Buy purified water,,Binary,1-YES; 2-NO
285,q468,you usually do to make water safer to drink:Other,,Binary,1-YES; 2-NO
286,q468oth,you usually do to make water safer to drink: Specify Other,,Text,
287,q4688,you usually do to make water safer to drink: Don't know,,Binary,1-YES; 2-NO
288,q47,Can you please show me where members of your HH most often wash hands?,,Coded value,"1-OBSERVED, FIXED PLACE; 2-OBSERVED, MOBILE; 3-NOT OBSERVED, NOT IN DWELLING/YARD; 4-NOT OBSERVED, NO PERMISSION; 5-NOT OBSERVED, OTHER REASON"
289,q48,Presence of water at the place for handwashing,,Binary,1-YES; 2-NO
290,q49,"Presence of soap,detergent,other cleansing agent at place for handwash",,Coded value,"1-SOAP OR DETERGENT; 2-ASH, MUD, OR SAND; 3-NONE"
291,q50,What kind of toilet facility do members of your hh usually use?,,Coded value,2-FLUSH OR POUR FLUSH TO SEPTIC TANK; 3-FLUSH OR POUR FLUSH TO PIT LATRINE; 11-NO FACILITY/BUSH/FIELD
292,q50oth,kind of toilet facility do members of your HH usually use: Other,,Text,
293,q501,Answer above is confirm by observation,,Binary,1-OBSERVED; 2-NOT OBSERVED
294,q502,Do you take photograph?,,Binary,1-YES; 2-NO
295,q502no,If No why?,,Text,
296,q502in,Information of photos,,Text,
297,q51,Do you share your toilet facility with other households?,,Binary,1-YES; 2-NO; 88-DON'TKNOW
298,q52,How many other households use this toilet facility?,,Text,
299,q53,"Last time youngest child pass stool past 24hr,what done to dispose stool?",,Coded value,1-CHILD USED TOILET/LATRINE; 2-PUT/RINSED INTO TOILET/LATRINE; 3-PUT/RINSED INTO DITCH OR DRAIN; 4-THROWN INTO GARBAGE; 5-BURIED; 6-LEFT IN OPEN; 7-OTHER
300,q53oth,"Last time your youngest child passed stools in past 24hr, Specify Other",,Text,
301,q54,Does your family have an ID Poor Card?,,Coded value,"1-YES, OBSERVED CARD; 2-YES, NOT OBSERVED; 3-YES, EXPIRED CARD; 4-NO; 88-DON'T KNOW"
302,q55a,your household have: Electricity,,Binary,1-YES; 2-NO
303,q55b,your household have: A radio,,Binary,1-YES; 2-NO
304,q55c,your household have: A television,,Binary,1-YES; 2-NO
305,q55d,your household have: A mobile telephone,,Binary,1-YES; 2-NO
306,q55e,your household have: A non-mobile telephone,,Binary,1-YES; 2-NO
307,q55f,your household have: A refrigerator,,Binary,1-YES; 2-NO
308,q55g,your household have: A wardrobe,,Binary,1-YES; 2-NO
309,q55h,your household have: A sewing machine or loom,,Binary,1-YES; 2-NO
310,q55i,your household have: A CD/DVD player,,Binary,1-YES; 2-NO
311,q55j,your household have: A generator/battery/solar panel,,Binary,1-YES; 2-NO
312,q56,Type of fuel your householde mainly use for cooking,,Coded value,"1-ELECTRICITY; 2-LPG; 3-BIOGAS; 5-COAL, LIGNITE; 6-CHARCOAL; 7-WOOD; 11-NO FOOD COOKED IN HOUSEHOLD"
313,q56oth,Type of fuel your HH mainly use for cooking: Specify Other,,Text,
314,q57,MAIN MATERIALS OF THE FLOORS,,Coded value,3-WOOD PLANKS; 5-PARQUET OR POLISHED WOOD
315,q57oth,MAIN MATERIALS OF THE FLOORS: Specify Other,,Text,
316,q58,MAIN MATERIAL OF THE ROOF,,Coded value,7-METAL; 9-CEMENT PLANK
317,q58oth,MAIN MATERIAL OF THE ROOF: Specify Other,,Text,
318,q59,MAIN MATERIAL OF EXTERIOR WALLS,,Coded value,10-REUSED WOOD; 12-CEMENT; 17-WOOD PLANKS/SHINGLES
319,q59oth,MAIN MATERIAL OF EXTERIOR WALLS: Specify Other,,Text,
320,q60,How many rooms in this household are used for sleeping?,,Text,
321,q61a,Does any member of this household own: A watch,,Binary,1-YES; 2-NO
322,q61b,Does any member of this household own: A bicycle or cyclo,,Binary,1-YES; 2-NO
323,q61c,Does any member of this household own: A motorcycle or motor scooter,,Binary,1-YES; 2-NO
324,q61d,Does any member of this household own: A motorcycle cart,,Binary,1-YES; 2-NO
325,q61e,Does any member of this household own: An oxcart or horsecart,,Binary,1-YES; 2-NO
326,q61f,"Does any member of this household own: A car or truck, tractor, or van",,Binary,1-YES; 2-NO
327,q61g,Does any member of this household own: A boat with a motor,,Binary,1-YES; 2-NO
328,q61h,Does any member of this household own: A boat without a motor,,Binary,1-YES; 2-NO
