1,2,3,4,5,6,8,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328
P2_V313_2581,P2,V313,Battambang,Rotonak Mondol,Sdau,2581,Yes,10-Sep-16,14.5,15.08,,,Completed,,,,,,,,,,,Chum Sophea,10-Sep-16,Ong Seyha,10-Sep-16,Yes,,,,Socheat,22-Sep-16,Yes,Yes,10-Sep-16,4,1967,51,Buddhist,,Never attended school,,Married or living together,Lower Secondary (7-9),,6,2,4,2,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,"Yes, observed card",Yes,Yes,Yes,Yes,0,0,Yes,0,0,0,Charcoal,,Parquet or polished wood,,Metal,,Metal,,0,0,0,Yes,0,0,0,0,0
P2_V399_2007,P2,V399,Battambang,Kamrieng,Ta Krei,2007,Yes,7-Sep-16,15.23,15.5,,,Completed,,,,,,,,,,,Rith Socheat,7-Sep-16,Ong Seyha,7-Sep-16,Yes,,,,Socheat,15-Sep-16,Yes,Yes,7-Sep-16,4,1986,30,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,6,2,4,1,"Surface water (river, dam, lake,",,Elsewhere,120,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,No,Yes,Yes,Yes,Yes,0,0,Yes,0,Yes,Yes,Charcoal,,Ceramic tiles,,Metal,,Wood planks / shingles,,0,0,Yes,Yes,0,0,Yes,0,Yes
P1_V295_1369,P1,V295,Pursat,Phnum Kravanh,Samraong,1369,Yes,2-Sep-16,14.2,14.43,,,Completed,,,,,,,,,,,Leng Sokny,2-Sep-16,Chhor Lyda,5-Sep-16,Yes,,,,Socheat,9-Sep-16,Yes,Yes,2-Sep-16,9,1987,30,Buddhist,,Primary (1 – 6),,Married or living together,Never attended school,,7,3,4,1,Rainwater,,In own yard/plot,,"Yes, always",0,0,0,0,0,Yes,0,0,,No,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Buried,,No,Yes,Yes,Yes,0,0,0,0,0,Yes,0,Wood,,Parquet or polished wood,,Metal,,Wood planks / shingles,,1,0,Yes,0,0,0,Yes,0,0
P3_V305_4291,P3,V305,Siem Reap,Chi Kraeng,Sangvaeuy,4291,Yes,26-Sep-16,16.56,17.12,,,Completed,,,,,,,,,,,Khat Srey Chen,26-Sep-16,Chhorn Chanthy,27-Sep-16,Yes,Oy Sreymom,28-Sep-16,Yes,Vannak,13-Oct-16,Yes,Yes,26-Sep-16,7,1986,31,Buddhist,,Primary (1 – 6),,Married or living together,Lower Secondary (7-9),,9,1,8,1,Rainwater,,In own yard/plot,,"Yes, always",0,0,0,Yes,0,0,0,0,,No,"Observed, fixed place",Water is available,None,Flush or pour flush to septic ta,,Observed,Yes,,,0,,Other,THROWN INTO BUSH,No,Yes,Yes,Yes,Yes,0,0,Yes,0,Yes,Yes,Wood,,Wood planks,,Clay tiles,,Wood planks / shingles,,1,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes
P2_V152_1832,P2,V152,Battambang,Koas Krala,Chhnal Moan,1832,Yes,7-Sep-16,15.35,16,,,Completed,,,,,,,,,,,Chan Sreymom,7-Sep-16,Chhorn Chanthy,8-Sep-16,Yes,,,,Socheat,16-Sep-16,Yes,Yes,7-Sep-16,6,1979,37,Buddhist,,Never attended school,,Married or living together,Primary (1 - 6),,5,3,2,2,Rainwater,,In own yard/plot,,No,0,0,0,0,0,0,0,0,,,"Observed, mobile",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Other,THROWN INTO BUSH,No,0,Yes,0,Yes,0,0,0,0,0,Yes,Wood,,Cement,,Metal,,Metal,,2,0,Yes,Yes,0,0,0,0,0
P2_V309_3307,P2,V309,Battambang,Rotonak Mondol,Sdau,3307,Yes,10-Sep-16,15.41,16,,,Completed,,,,,,,,,,,Leng Sokny,10-Sep-16,Chhor Lyda,11-Sep-16,Yes,,,,Socheat,21-Sep-16,Yes,Yes,10-Sep-16,8,1995,21,Buddhist,,Lower Secondary (7–9),,Married or living together,Higher,,6,1,5,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, mobile",Water is available,None,Flush or pour flush to septic ta,,Observed,Yes,,3307,0,,Buried,,No,Yes,0,Yes,Yes,0,0,Yes,0,0,0,LPG,,Cement tiles,,Metal,,Wood planks / shingles,,1,0,0,Yes,0,0,0,0,0
P2_V245_0511,P2,V245,Battambang,Moung Ruessei,Robas Mongkol,511,Yes,6-Sep-16,15.04,15.26,,,Completed,,,,,,,,,,,Chhay Leangchheng,6-Sep-16,Chhorn Chanthy,7-Sep-16,Yes,,,,Socheat,14-Sep-16,Yes,Yes,6-Sep-16,6,1993,23,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,3,1,2,1,Tanker truck,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,No,0,0,0,0,0,0,0,0,0,Yes,Charcoal,,Parquet or polished wood,,Metal,,Wood planks / shingles,,1,0,0,0,0,0,0,0,0
P2_V231_1200,P2,V231,Battambang,Rukh Kiri,Prey Tralach,1200,Yes,5-Sep-16,10.45,11.04,,,Completed,,,,,,,,,,,Chan Sreymom,5-Sep-16,Chhorn Chanthy,6-Sep-16,Yes,,,,Vannak,15-Sep-16,Yes,Yes,5-Sep-16,4,1990,26,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,Rainwater,,In own yard/plot,,"Yes, sometimes",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,None,Use another household’s latrine,,,,,,0,,Other,WASHING,"Yes, observed card",Yes,0,0,Yes,0,0,0,0,0,0,Charcoal,,Parquet or polished wood,,Metal,,Wood planks / shingles,,0,0,0,0,0,0,0,0,0
P2_V393_2038,P2,V393,Battambang,Kamrieng,Ta Krei,2038,Yes,7-Sep-16,11.3,12,,,Completed,,,,,,,,,,,Mich Sina,7-Sep-16,Ong Seyha,7-Sep-16,Yes,,,,Socheat,11-Nov-16,Yes,Yes,7-Sep-16,4,1979,38,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,5,3,2,1,Rainwater,,In own dwelling,,No,0,0,0,0,0,0,0,0,,,"Observed, mobile",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Other,BURNING,No,0,0,Yes,Yes,0,0,0,0,Yes,Yes,LPG,,Parquet or polished wood,,Metal,,Metal,,0,0,Yes,Yes,0,0,0,0,0
P2_V469_1729,P2,V469,Battambang,Koas Krala,Thipakdei,1729,Yes,7-Sep-16,12.3,12.55,,,Completed,,,,,,,,,,,Kuo Chak,7-Sep-16,Chhem Bunthy,7-Sep-16,Yes,Oy Sreymom,10-Sep-16,Yes,Socheat,16-Sep-16,Yes,Yes,7-Sep-16,1,1986,28,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,None,Use another household’s latrine,,,,,,0,,Other,THROWN INTO BUSH,No,Yes,0,0,0,0,0,0,0,0,0,Wood,,Earth / Sand / Clay,,Metal,,Metal,,0,0,0,0,0,0,0,0,0
P2_V40_1811,P2,V40,Battambang,Koas Krala,Chhnal Moan,1811,Yes,7-Sep-16,11.55,12.18,,,Completed,,,,,,,,,,,Chhay Leangchheng,7-Sep-16,Chhorn Chanthy,8-Sep-16,Yes,Oy Sreymom,9-Sep-16,Yes,Socheat,8-Oct-16,Yes,Yes,7-Sep-16,7,1995,22,Buddhist,,Primary (1 – 6),,Married or living together,Lower Secondary (7-9),,5,1,4,1,Tanker truck,,In own dwelling,,"Yes, always",Yes,Yes,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,No,Yes,0,Yes,Yes,0,0,0,0,0,0,Charcoal,,Parquet or polished wood,,Metal,,Wood planks / shingles,,1,0,0,0,0,0,Yes,0,0
P2_V228_1113,P2,V228,Battambang,Rukh Kiri,Prey Tralach,1113,Yes,3-Sep-16,15.12,15.39,,,Completed,,,,,,,,,,,Sum Chaya,3-Sep-16,Chhorn Chanthy,6-Sep-16,Yes,,,,Vannak,16-Sep-16,Yes,Yes,3-Sep-16,7,1987,30,Buddhist,,Primary (1 – 6),,Married or living together,Lower Secondary (7-9),,6,4,2,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,Yes,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,Yes,1,Put /rinsed into toilet or latri,,No,0,0,Yes,Yes,0,0,0,0,Yes,Yes,Charcoal,,Wood planks,,Metal,,Wood planks / shingles,,0,0,Yes,Yes,0,0,Yes,0,0
P2_V398_2082,P2,V398,Battambang,Kamrieng,Ta Krei,2082,Yes,8-Sep-16,11.1,11.36,,,Completed,,,,,,,,,,,Nhoueng Sovann,8-Sep-16,Ong Seyha,8-Sep-16,Yes,,,,Socheat,17-Sep-16,Yes,Yes,8-Sep-16,12,1988,29,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,Tanker truck,,In own dwelling,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, mobile",Water is not available,None,No facility / bush / field,,,,,,0,,Left in the open,,No,0,0,Yes,Yes,0,0,0,0,Yes,Yes,Wood,,Parquet or polished wood,,Metal,,Metal,,0,0,Yes,0,0,0,Yes,0,0
P1_V294_1392,P1,V294,Pursat,Phnum Kravanh,Samraong,1392,Yes,2-Sep-16,10.52,11.2,,,Completed,,,,,,,,,,,Pichtip Vibol,2-Sep-16,Chhor Lyda,5-Sep-16,Yes,,,,Vannak,10-Sep-16,Yes,Yes,2-Sep-16,1,1984,32,Buddhist,,Lower Secondary (7–9),,Divorced or separated,,,6,3,3,1,"Surface water (river, dam, lake,",,Elsewhere,20,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,No,Yes,0,Yes,Yes,0,0,Yes,0,Yes,0,Wood,,Parquet or polished wood,,Metal,,Wood planks / shingles,,1,0,Yes,0,0,0,0,0,0
P2_V413_1816,P2,V413,Battambang,Koas Krala,Chhnal Moan,1816,Yes,7-Sep-16,13.52,14.22,,,Completed,,,,,,,,,,,Yong Vandy,7-Sep-16,Chhorn Chanthy,8-Sep-16,Yes,,,,Socheat,16-Sep-16,Yes,Yes,7-Sep-16,1,1991,25,Buddhist,,Lower Secondary (7–9),,Married or living together,Primary (1 - 6),,11,8,3,1,Rainwater,,In own dwelling,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, mobile",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,No,Yes,0,0,Yes,0,0,0,0,0,0,Wood,,Wood planks,,Metal,,Metal,,0,0,Yes,Yes,0,0,0,0,0
P2_V41_1842,P2,V41,Battambang,Koas Krala,Chhnal Moan,1842,Yes,7-Sep-16,15.44,16.07,,,Completed,,,,,,,,,,,Sum Chaya,7-Sep-16,Chhorn Chanthy,8-Sep-16,Yes,,,,Socheat,16-Sep-16,Yes,Yes,7-Sep-16,5,1991,25,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,"Surface water (river, dam, lake,",,Elsewhere,60,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Buried,,"Yes, observed card",0,Yes,0,0,0,0,0,0,0,Yes,Wood,,Wood planks,,Metal,,Cardboard,,0,0,0,0,0,0,0,0,0
P2_V316_2276,P2,V316,Battambang,Rotonak Mondol,Sdau,2276,Yes,10-Sep-16,15,15.12,10-Sep-16,16,Rescheduled,10-Sep-16,16,16.08,,,Completed,,,,,Neur Chanda,10-Sep-16,Chhem Bunthy,10-Sep-16,Yes,,,,Socheat,20-Sep-16,Yes,Yes,10-Sep-16,88,1958,58,Buddhist,,Never attended school,,Married or living together,Primary (1 - 6),,8,4,4,1,Rainwater,,In own dwelling,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,Flush or pour flush to pit latri,,Observed,Yes,,2226,0,,Put /rinsed into toilet or latri,,"Yes, observed card",Yes,0,Yes,Yes,0,0,Yes,0,0,0,Wood,,Parquet or polished wood,,Metal,,Metal,,1,Yes,0,Yes,0,0,0,0,0
P2_V201_1965,P2,V201,Battambang,Koas Krala,Preah Phos,1965,Yes,9-Sep-16,14.05,14.29,,,Completed,,,,,,,,,,,Khat Srey Chen,9-Sep-16,Chhorn Chanthy,10-Sep-16,Yes,,,,Vannak,18-Sep-16,Yes,Yes,9-Sep-16,8,1996,20,Buddhist,,Lower Secondary (7–9),,Divorced or separated,,,8,4,4,1,Rainwater,,In own dwelling,,"Yes, always",Yes,0,0,Yes,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,"Yes, observed card",0,0,0,Yes,0,0,0,0,0,0,Wood,,Wood planks,,Metal,,Wood planks / shingles,,1,0,Yes,0,0,0,0,0,0
P2_V248_1990,P2,V248,Battambang,Moung Ruessei,Robas Mongkol,1990,Yes,6-Sep-16,14.35,15.07,,,Completed,,,,,,,,,,,Mich Sina,6-Sep-16,Ong Seyha,6-Sep-16,Yes,Oy Sreymom,7-Sep-16,Yes,Socheat,8-Oct-16,Yes,Yes,6-Sep-16,8,1994,24,Buddhist,,Lower Secondary (7–9),,Married or living together,Lower Secondary (7-9),,3,1,2,1,"Surface water (river, dam, lake,",,Elsewhere,1,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, mobile",Water is not available,"Soap or detergent (bar, liquid,",Use another household’s latrine,,,,,,0,,Buried,,No,Yes,0,0,Yes,0,0,0,0,Yes,0,Wood,,Earth / Sand / Clay,,Metal,,Plywood,,0,0,0,Yes,0,0,0,0,0
P2_V198_2210,P2,V198,Battambang,Koas Krala,Preah Phos,2210,Yes,9-Sep-16,14.3,14.5,,,Completed,,,,,,,,,,,Cheat Chansolinda,9-Sep-16,Chhem Bunthy,9-Sep-16,Yes,Oy Sreymom,10-Sep-16,Yes,Socheat,8-Oct-16,Yes,Yes,9-Sep-16,10,1985,30,Buddhist,,Lower Secondary (7–9),,Married or living together,Lower Secondary (7-9),,6,3,3,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,None,Flush or pour flush to pit latri,,Observed,Yes,,,0,,Buried,,"Yes, observed card",0,Yes,0,Yes,0,0,0,0,0,Yes,Wood,,Wood planks,,Metal,,Wood planks / shingles,,0,0,Yes,Yes,0,0,0,0,0
P2_V251_0890,P2,V251,Battambang,Moung Ruessei,Robas Mongkol,890,Yes,6-Sep-16,12.48,13.4,,,Completed,,,,,,,,,,,Phorn Somaly,6-Sep-16,Ong Seyha,6-Sep-16,Yes,,,,Socheat,12-Sep-16,Yes,Yes,6-Sep-16,8,1988,28,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,"Surface water (river, dam, lake,",,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,None,Use another household’s latrine,,,,,,0,,Buried,,No,Yes,0,Yes,Yes,0,0,0,Yes,0,0,Wood,,Parquet or polished wood,,Metal,,Metal,,0,0,0,Yes,0,0,0,0,0
P2_V392_2068,P2,V392,Battambang,Kamrieng,Ta Krei,2068,Yes,8-Sep-16,14.23,14.45,,,Completed,,,,,,,,,,,Keo Chandararoth,8-Sep-16,Ong Seyha,8-Sep-16,Yes,,,,Socheat,18-Sep-16,Yes,Yes,8-Sep-16,8,1995,24,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Use another household’s latrine,,,,,,0,,Buried,,No,0,0,0,Yes,0,0,0,0,0,Yes,Charcoal,,Parquet or polished wood,,Metal,,Wood planks / shingles,,0,0,0,0,0,0,0,0,0
P2_V447_2635,P2,V447,Battambang,Thma Koul,Ta Pung,2635,Yes,12-Sep-16,11.2,11.4,,,Completed,,,,,,,,,,,Rith Socheat,12-Sep-16,Ong Seyha,12-Sep-16,Yes,,,,Vannak,23-Sep-16,Yes,Yes,12-Sep-16,4,1991,25,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,6,3,3,1,Tanker truck,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Put /rinsed into toilet or latri,,No,Yes,Yes,Yes,Yes,0,Yes,Yes,0,Yes,0,LPG,,Cement,,Metal,,Metal,,0,Yes,Yes,Yes,0,0,0,0,0
P2_V447_2637,P2,V447,Battambang,Thma Koul,Ta Pung,2637,Yes,12-Sep-16,13.3,13.55,,,Completed,,,,,,,,,,,Rith Socheat,12-Sep-16,Ong Seyha,12-Sep-16,Yes,,,,Vannak,11-Nov-16,Yes,Yes,1-Sep-16,4,1974,42,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,9,3,6,2,Rainwater,,In own yard/plot,,"Yes, sometimes",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to septic ta,,Observed,Yes,,,0,,Put /rinsed into toilet or latri,,"Yes, observed card",Yes,Yes,Yes,Yes,0,0,0,0,Yes,0,Wood,,Parquet or polished wood,,Metal,,Metal,,0,0,Yes,Yes,0,0,0,0,0
P1_V298_0940,P1,V298,Pursat,Phnum Kravanh,Samraong,940,Yes,2-Sep-16,14.2,14.48,,,Completed,,,,,,,,,,,Leang Satry,2-Sep-16,Chhem Bunthy,2-Sep-16,Yes,Oy Sreymom,7-Sep-16,Yes,Vannak,11-Sep-16,Yes,Yes,2-Sep-16,5,1995,21,Buddhist,,Upper Secondary (10–12),,Married or living together,Primary (1 - 6),,6,2,4,1,"Surface water (river, dam, lake,",,Elsewhere,10,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Flush or pour flush to pit latri,,Observed,Yes,,,0,,Put /rinsed into toilet or latri,,No,Yes,Yes,Yes,Yes,0,0,0,0,0,Yes,Wood,,Parquet or polished wood,,Clay tiles,,Wood planks / shingles,,1,0,Yes,Yes,0,0,0,0,0
